GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PlatformeBack,org.example.platformeback,PlatformeBackApplication,5,3,0,0,2,1,1,1,1,1
PlatformeBack,org.example.platformeback.user.dto,AdminResetPasswordRequest,0,6,0,0,0,1,0,1,0,1
PlatformeBack,org.example.platformeback.user.dto,ChangePasswordRequest,0,9,0,0,0,1,0,1,0,1
PlatformeBack,org.example.platformeback.user.dto,UserResponse,0,30,0,0,0,1,0,1,0,1
PlatformeBack,org.example.platformeback.user.dto,AdminCreateUserRequest,0,27,0,0,0,1,0,1,0,1
PlatformeBack,org.example.platformeback.user.dto,UserCreateRequest,3,0,0,0,1,0,1,0,1,0
PlatformeBack,org.example.platformeback.user.dto,UserUpdateRequest,0,15,0,0,0,1,0,1,0,1
PlatformeBack,org.example.platformeback.user.dto,AdminUpdateUserRequest,0,18,0,0,0,1,0,1,0,1
PlatformeBack,org.example.platformeback.user.service,UserServiceImpl,20,365,13,37,1,73,13,29,0,17
PlatformeBack,org.example.platformeback.auth.controller,AuthController,26,9,0,0,6,1,4,1,4,1
PlatformeBack,org.example.platformeback.security,JwtAuthFilter,67,9,10,0,17,1,6,1,1,1
PlatformeBack,org.example.platformeback.security,UserDetailsServiceImpl,40,6,2,0,7,1,3,1,2,1
PlatformeBack,org.example.platformeback.security,JwtService,0,111,0,4,0,32,0,10,0,8
PlatformeBack,org.example.platformeback.security,SecurityConfig,0,85,0,0,0,17,0,9,0,9
PlatformeBack,org.example.platformeback.config,AdminSeeder,28,15,1,1,11,2,1,2,0,2
PlatformeBack,org.example.platformeback.config,OpenApiConfig,3,0,0,0,1,0,1,0,1,0
PlatformeBack,org.example.platformeback.user.model,User,23,106,2,0,4,14,5,20,4,20
PlatformeBack,org.example.platformeback.user.model,User.UserBuilder,29,72,0,0,0,1,2,11,2,11
PlatformeBack,org.example.platformeback.user.model,Role,0,27,0,0,0,5,0,1,0,1
PlatformeBack,org.example.platformeback.auth.reset,PasswordResetToken,61,7,0,0,6,3,12,1,12,1
PlatformeBack,org.example.platformeback.auth.reset,PasswordResetService,152,12,20,0,35,1,14,1,4,1
PlatformeBack,org.example.platformeback.auth.reset,PasswordResetToken.PasswordResetTokenBuilder,56,0,0,0,1,0,8,0,8,0
PlatformeBack,org.example.platformeback.auth.dto,ForgotPasswordRequest,6,0,0,0,1,0,1,0,1,0
PlatformeBack,org.example.platformeback.auth.dto,AuthResponse,0,21,0,0,0,1,0,1,0,1
PlatformeBack,org.example.platformeback.auth.dto,RegisterRequest,0,21,0,0,0,1,0,1,0,1
PlatformeBack,org.example.platformeback.auth.dto,LoginRequest,0,9,0,0,0,1,0,1,0,1
PlatformeBack,org.example.platformeback.auth.dto,ResetPasswordRequest,9,0,0,0,1,0,1,0,1,0
PlatformeBack,org.example.platformeback.user.controller,UserController,72,6,0,0,16,1,12,1,12,1
PlatformeBack,org.example.platformeback.exception,ResourceNotFoundException,3,0,0,0,1,0,1,0,1,0
PlatformeBack,org.example.platformeback.exception,GlobalExceptionHandler,3,0,0,0,1,0,1,0,1,0
PlatformeBack,org.example.platformeback.auth.service,AuthService,0,138,0,2,0,32,0,5,0,4
